zone_id,pixel_count,area_m2,area_ha
453,1,400,0.04
454,2,800,0.08
455,5,2000,0.2
456,1,400,0.04
457,1,400,0.04
458,1,400,0.04
459,2,800,0.08
460,1,400,0.04
461,1,400,0.04
462,2,800,0.08
463,4,1600,0.16
464,2,800,0.08
465,1,400,0.04
466,126,50400,5.04
467,1,400,0.04
468,1,400,0.04
469,5,2000,0.2
470,1,400,0.04
471,1,400,0.04
472,20,8000,0.8
473,2,800,0.08
474,3,1200,0.12
475,2,800,0.08
476,23,9200,0.92
477,2,800,0.08
478,5,2000,0.2
479,5,2000,0.2
480,1,400,0.04
481,2,800,0.08
482,1,400,0.04
483,1,400,0.04
484,1,400,0.04
485,2,800,0.08
486,6,2400,0.24
487,8,3200,0.32
488,1,400,0.04
489,1,400,0.04
490,1,400,0.04
491,1,400,0.04
492,3,1200,0.12
493,1,400,0.04
494,2,800,0.08
495,2,800,0.08
496,1,400,0.04
497,3,1200,0.12
498,2,800,0.08
499,2,800,0.08
500,15,6000,0.6
501,13,5200,0.52
502,17,6800,0.68
503,1,400,0.04
504,3,1200,0.12
505,5,2000,0.2
506,2,800,0.08
507,1,400,0.04
508,1,400,0.04
509,1,400,0.04
510,4,1600,0.16
511,7,2800,0.28
512,1,400,0.04
513,1,400,0.04
514,1,400,0.04
515,1,400,0.04
516,1,400,0.04
517,3,1200,0.12
518,10,4000,0.4
519,2,800,0.08
520,7,2800,0.28
521,7,2800,0.28
522,8,3200,0.32
523,1,400,0.04
524,2,800,0.08
525,2,800,0.08
526,5,2000,0.2
527,1,400,0.04
528,2,800,0.08
529,1,400,0.04
530,2,800,0.08
531,1,400,0.04
532,1,400,0.04
533,1,400,0.04
534,1,400,0.04
535,1,400,0.04
536,1,400,0.04
537,1,400,0.04
538,1,400,0.04
539,1,400,0.04
540,3,1200,0.12
541,7,2800,0.28
542,3,1200,0.12
543,5,2000,0.2
544,4,1600,0.16
545,48,19200,1.92
546,5,2000,0.2
547,1,400,0.04
548,1,400,0.04
549,2,800,0.08
550,5,2000,0.2
551,1,400,0.04
552,1,400,0.04
553,1,400,0.04
554,1,400,0.04
555,10,4000,0.4
556,1,400,0.04
557,83,33200,3.32
558,1,400,0.04
559,1,400,0.04
560,2,800,0.08
561,37,14800,1.48
562,2,800,0.08
563,42,16800,1.68
564,8,3200,0.32
565,8,3200,0.32
566,14,5600,0.56
567,1,400,0.04
568,1,400,0.04
569,2,800,0.08
570,1,400,0.04
571,323,129200,12.92
572,2,800,0.08
573,1,400,0.04
574,1,400,0.04
575,1,400,0.04
576,9,3600,0.36
577,4,1600,0.16
578,6,2400,0.24
579,1,400,0.04
580,1,400,0.04
581,9,3600,0.36
582,1,400,0.04
583,11,4400,0.44
584,2,800,0.08
585,1,400,0.04
586,1,400,0.04
587,1,400,0.04
588,1,400,0.04
589,1,400,0.04
590,79,31600,3.16
591,30,12000,1.2
592,1,400,0.04
593,2,800,0.08
594,5,2000,0.2
595,89,35600,3.56
596,2,800,0.08
597,3,1200,0.12
598,1,400,0.04
599,3,1200,0.12
600,1,400,0.04
601,7,2800,0.28
602,1,400,0.04
603,1,400,0.04
604,4,1600,0.16
605,1,400,0.04
606,1,400,0.04
607,1,400,0.04
608,2,800,0.08
609,2,800,0.08
610,1,400,0.04
611,1,400,0.04
612,2,800,0.08
613,1,400,0.04
614,2,800,0.08
615,1,400,0.04
616,1,400,0.04
617,1,400,0.04
618,1,400,0.04
619,2,800,0.08
620,2,800,0.08
621,2,800,0.08
622,5,2000,0.2
623,17,6800,0.68
624,4,1600,0.16
625,91,36400,3.64
626,24,9600,0.96
627,1,400,0.04
628,1,400,0.04
629,1,400,0.04
630,2,800,0.08
631,1,400,0.04
632,4,1600,0.16
633,3,1200,0.12
634,1,400,0.04
635,1,400,0.04
636,1,400,0.04
637,5,2000,0.2
638,5,2000,0.2
639,5,2000,0.2
640,2,800,0.08
641,1,400,0.04
642,69,27600,2.76
643,1,400,0.04
644,1,400,0.04
645,1,400,0.04
646,1,400,0.04
647,1,400,0.04
648,1,400,0.04
649,1,400,0.04
650,1,400,0.04
651,2,800,0.08
652,1,400,0.04
653,23,9200,0.92
654,1,400,0.04
655,1,400,0.04
656,2,800,0.08
657,2,800,0.08
658,2,800,0.08
659,1,400,0.04
660,64,25600,2.56
661,2,800,0.08
662,16,6400,0.64
663,4,1600,0.16
664,2,800,0.08
665,1,400,0.04
666,1,400,0.04
667,3,1200,0.12
668,2,800,0.08
669,2,800,0.08
670,1,400,0.04
671,1,400,0.04
672,3,1200,0.12
673,3,1200,0.12
674,1,400,0.04
