zone_id,pixel_count,area_m2,area_ha
573,56,22400,2.24
574,57,22800,2.28
575,193,77200,7.72
576,54,21600,2.16
577,106,42400,4.24
578,318,127200,12.72
579,82,32800,3.28
580,78,31200,3.12
581,415,166000,16.6
582,2490,996000,99.6
583,84,33600,3.36
584,101,40400,4.04
585,54,21600,2.16
586,111,44400,4.44
587,71,28400,2.84
588,91,36400,3.64
589,291,116400,11.64
590,58,23200,2.32
591,55,22000,2.2
592,487,194800,19.48
593,280,112000,11.2
594,117,46800,4.68
595,249,99600,9.96
596,104,41600,4.16
597,140,56000,5.6
598,65,26000,2.6
599,55,22000,2.2
600,122,48800,4.88
601,86,34400,3.44
602,53,21200,2.12
603,374,149600,14.96
604,184,73600,7.36
605,113,45200,4.52
606,54,21600,2.16
607,229,91600,9.16
608,53,21200,2.12
609,70,28000,2.8
610,51,20400,2.04
611,477,190800,19.08
612,129,51600,5.16
613,427,170800,17.08
614,1448,579200,57.92
615,80,32000,3.2
616,148127,59250800,5925.08
617,51,20400,2.04
618,67,26800,2.68
619,205,82000,8.2
620,67,26800,2.68
621,54,21600,2.16
622,69,27600,2.76
623,182,72800,7.28
624,112,44800,4.48
625,208,83200,8.32
626,62,24800,2.48
627,81,32400,3.24
628,50,20000,2.0
629,128,51200,5.12
630,294,117600,11.76
631,54,21600,2.16
632,107,42800,4.28
633,151,60400,6.04
634,591,236400,23.64
635,131,52400,5.24
636,126,50400,5.04
637,76,30400,3.04
638,73,29200,2.92
639,252,100800,10.08
640,81,32400,3.24
641,97,38800,3.88
642,90,36000,3.6
643,315,126000,12.6
644,176,70400,7.04
645,77,30800,3.08
646,96,38400,3.84
647,243,97200,9.72
648,74,29600,2.96
649,91,36400,3.64
650,118,47200,4.72
651,70,28000,2.8
652,51,20400,2.04
653,79,31600,3.16
654,81,32400,3.24
655,96,38400,3.84
656,468,187200,18.72
657,117,46800,4.68
658,75,30000,3.0
659,69,27600,2.76
660,77,30800,3.08
661,109,43600,4.36
662,212,84800,8.48
663,219,87600,8.76
664,158,63200,6.32
665,74,29600,2.96
666,74,29600,2.96
667,110,44000,4.4
668,127,50800,5.08
669,67,26800,2.68
670,420,168000,16.8
671,221,88400,8.84
672,98,39200,3.92
673,69,27600,2.76
674,105,42000,4.2
675,89,35600,3.56
676,95,38000,3.8
677,280,112000,11.2
678,56,22400,2.24
679,79,31600,3.16
