scenario,zone_id,pixel_count,area_m2,area_ha,input_file,salinity_mean,depth_mean,temperature_mean,sedimentation_mean
check4factor,77,80,32000,3.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.949,6.709,28.837,15.662
check4factor,78,74,29600,2.96,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.309,28.947,9.79
check4factor,79,114,45600,4.56,factor_suitability_2025_Depth_10m_2025_highest.tif,32.949,6.49,28.837,15.662
check4factor,80,5169,2067600,206.76,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.553,28.947,9.556
check4factor,81,2233,893200,89.32,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.443,28.947,10.519
check4factor,82,89,35600,3.56,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.735,28.947,9.79
check4factor,83,4746,1898400,189.84,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.09,28.947,7.836
check4factor,84,162,64800,6.48,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.182,28.947,9.428
check4factor,85,266,106400,10.64,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.462,28.947,9.79
check4factor,86,5475,2190000,219.0,factor_suitability_2025_Depth_10m_2025_highest.tif,32.95,7.084,28.854,12.964
check4factor,87,81,32400,3.24,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.419,28.947,11.896
check4factor,88,828,331200,33.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,6.988,28.947,9.702
check4factor,89,195,78000,7.8,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.508,28.947,6.637
check4factor,90,52,20800,2.08,factor_suitability_2025_Depth_10m_2025_highest.tif,32.915,5.853,28.963,12.008
check4factor,91,461,184400,18.44,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.269,29.093,9.216
check4factor,92,427,170800,17.08,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.427,29.093,9.216
check4factor,93,1305,522000,52.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.503,29.093,9.198
check4factor,94,305,122000,12.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.679,29.093,5.844
check4factor,95,380,152000,15.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.992,29.093,5.844
check4factor,96,257,102800,10.28,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.395,29.093,5.844
check4factor,97,1332,532800,53.28,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.413,29.093,5.844
check4factor,98,130,52000,5.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.583,29.093,5.105
check4factor,99,2353,941200,94.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.096,29.093,5.844
check4factor,100,243,97200,9.72,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.518,29.093,5.844
check4factor,101,782,312800,31.28,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.986,29.093,7.435
check4factor,102,116,46400,4.64,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.592,29.093,5.844
check4factor,103,97,38800,3.88,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.617,29.093,4.687
check4factor,104,570,228000,22.8,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.111,29.093,4.687
check4factor,105,289,115600,11.56,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.273,29.093,5.844
check4factor,106,77,30800,3.08,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.088,29.093,4.687
check4factor,107,87,34800,3.48,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.306,29.093,5.844
check4factor,108,94,37600,3.76,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.705,29.093,5.844
check4factor,109,80,32000,3.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.614,29.093,4.687
check4factor,110,89,35600,3.56,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.059,29.093,4.687
check4factor,111,54,21600,2.16,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.299,29.093,4.687
check4factor,112,72,28800,2.88,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.478,29.093,4.687
check4factor,113,343,137200,13.72,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.561,29.093,5.844
check4factor,114,77,30800,3.08,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.19,29.093,4.687
check4factor,115,137,54800,5.48,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.415,29.093,5.836
check4factor,116,55,22000,2.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.258,29.093,4.687
check4factor,117,147,58800,5.88,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.422,29.093,4.687
check4factor,118,475,190000,19.0,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.351,29.093,5.844
check4factor,119,65,26000,2.6,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.414,29.093,4.687
check4factor,120,158,63200,6.32,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.112,29.093,5.844
check4factor,121,400,160000,16.0,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.309,29.093,4.442
check4factor,122,130,52000,5.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.833,29.093,5.762
check4factor,123,103,41200,4.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.204,29.093,5.844
check4factor,124,59,23600,2.36,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.215,29.093,4.275
check4factor,125,289,115600,11.56,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.552,29.093,5.212
check4factor,126,53,21200,2.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.774,29.093,4.275
check4factor,127,108,43200,4.32,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.051,29.093,4.275
check4factor,128,216,86400,8.64,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.221,29.093,4.275
check4factor,129,56,22400,2.24,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.482,29.093,4.275
check4factor,130,254,101600,10.16,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.188,29.093,5.507
check4factor,131,261,104400,10.44,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.146,29.093,4.275
check4factor,132,87,34800,3.48,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.353,29.093,4.275
check4factor,133,1141,456400,45.64,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.012,29.093,4.643
check4factor,134,98,39200,3.92,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.689,29.093,5.212
check4factor,135,54,21600,2.16,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.218,29.093,4.275
check4factor,136,128,51200,5.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.33,29.093,5.205
check4factor,137,84,33600,3.36,factor_suitability_2025_Depth_10m_2025_highest.tif,32.889,6.569,28.926,16.88
check4factor,138,91,36400,3.64,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.891,29.014,7.821
check4factor,139,6893,2757200,275.72,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.562,29.014,8.296
check4factor,140,119,47600,4.76,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.585,29.014,7.821
check4factor,141,1500,600000,60.0,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.114,29.014,11.431
check4factor,142,4724,1889600,188.96,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.204,29.014,8.014
check4factor,143,528773,211509200,21150.92,factor_suitability_2025_Depth_10m_2025_highest.tif,32.869,7.075,29.056,6.306
check4factor,144,53,21200,2.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.874,6.604,28.936,13.455
check4factor,145,67,26800,2.68,factor_suitability_2025_Depth_10m_2025_highest.tif,32.866,7.521,29.073,5.919
check4factor,146,137,54800,5.48,factor_suitability_2025_Depth_10m_2025_highest.tif,32.866,7.76,29.073,5.919
check4factor,147,55,22000,2.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.866,7.713,29.073,5.919
check4factor,148,55,22000,2.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.866,7.63,29.073,5.919
check4factor,149,80,32000,3.2,factor_suitability_2025_Depth_10m_2025_highest.tif,32.866,7.708,29.073,5.919
check4factor,150,142,56800,5.68,factor_suitability_2025_Depth_10m_2025_highest.tif,32.876,7.529,29.015,6.863
