scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;42;56;22400;2.24;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;5.59;7.498;6.746;6.757;28.947;28.947;28.947;28.947;7.836;7.836;7.836;7.836
check4factor;43;175;70000;7.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;5.689;7.993;7.155;7.249;28.947;28.947;28.947;28.947;7.836;7.836;7.836;7.836
check4factor;44;50;20000;2.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.949;32.949;32.949;32.949;6.901;7.987;7.621;7.645;28.837;28.837;28.837;28.837;15.662;15.662;15.662;15.662
check4factor;45;131;52400;5.24;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;6.395;7.959;7.095;6.937;29.093;29.093;29.093;29.093;7.435;7.435;7.435;7.435
check4factor;46;80;32000;3.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.743;6.854;6.225;6.181;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;47;315;126000;12.6;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;4.294;7.998;6.684;6.586;29.014;29.014;29.014;29.014;11.768;11.768;11.768;11.768
check4factor;48;105;42000;4.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.225;7.259;6.12;6.089;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;49;51;20400;2.04;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.785;7.443;6.709;6.795;29.014;29.014;29.014;29.014;6.666;10.787;9.413;10.787
check4factor;50;109;43600;4.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.125;7.15;5.976;5.91;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;51;536;214400;21.44;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.069;7.682;6.396;6.302;29.014;29.014;29.014;29.014;6.666;10.787;8.18;6.666
check4factor;52;75;30000;3.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.158;7.053;5.997;5.957;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
check4factor;53;2062;824800;82.48;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.868;32.867;32.866;5.192;7.99;6.604;6.532;29.014;29.073;29.054;29.073;6.051;6.666;6.25;6.051
