scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;58;195;78000;7.8;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;6.387;8.311;7.433;7.484;28.947;28.947;28.947;28.947;8.218;11.896;10.161;11.896
noCheck4factor;59;81;32400;3.24;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;5.761;8.499;6.944;7.025;28.947;28.947;28.947;28.947;8.218;8.218;8.218;8.218
noCheck4factor;60;331;132400;13.24;factor_suitability_2025_Depth_10m_2025_highest.tif;32.949;32.96;32.956;32.96;4.54;8.41;6.68;6.671;28.837;28.947;28.912;28.947;8.218;10.513;8.939;8.218
noCheck4factor;61;338;135200;13.52;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;6.283;8.659;7.762;7.85;28.947;28.947;28.947;28.947;6.637;6.637;6.637;6.637
noCheck4factor;62;52;20800;2.08;factor_suitability_2025_Depth_10m_2025_highest.tif;32.915;32.915;32.915;32.915;4.716;6.993;5.853;5.81;28.963;28.963;28.963;28.963;12.008;12.008;12.008;12.008
noCheck4factor;63;70;28000;2.8;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;5.792;7.97;6.617;6.561;29.093;29.093;29.093;29.093;9.216;9.216;9.216;9.216
noCheck4factor;64;147;58800;5.88;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;3.954;7.904;6.225;6.188;29.093;29.093;29.093;29.093;9.216;9.216;9.216;9.216
noCheck4factor;65;130;52000;5.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;5.523;8.564;6.902;6.83;29.093;29.093;29.093;29.093;7.234;9.216;9.185;9.216
noCheck4factor;66;338;135200;13.52;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;4.789;8.666;6.834;7.055;29.093;29.093;29.093;29.093;5.844;5.844;5.844;5.844
noCheck4factor;67;1525;610000;61.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;4.649;9.254;7.769;7.798;29.093;29.093;29.093;29.093;5.844;5.844;5.844;5.844
noCheck4factor;68;15510;6204000;620.4;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;4.508;9.348;8.11;8.298;29.093;29.093;29.093;29.093;4.275;5.844;4.869;4.687
noCheck4factor;69;659;263600;26.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;5.4;8.576;7.056;7.021;29.093;29.093;29.093;29.093;7.435;7.435;7.435;7.435
noCheck4factor;70;289;115600;11.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;5.182;9.079;7.725;7.823;29.093;29.093;29.093;29.093;5.844;5.844;5.844;5.844
noCheck4factor;71;334;133600;13.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.89;32.89;32.89;32.89;5.89;9.113;7.445;7.282;29.093;29.093;29.093;29.093;5.212;6.484;5.44;5.212
noCheck4factor;72;94;37600;3.76;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;6.149;8.115;7.043;6.867;29.014;29.014;29.014;29.014;7.821;7.821;7.821;7.821
noCheck4factor;73;1319;527600;52.76;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.351;8.214;6.314;6.282;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
noCheck4factor;74;1414;565600;56.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;3.748;8.54;6.114;6.013;29.014;29.014;29.014;29.014;8.312;11.768;11.422;11.768
noCheck4factor;75;380;152000;15.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.001;7.259;5.993;5.961;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
noCheck4factor;76;3416;1366400;136.64;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;4.934;8.082;6.243;6.201;29.014;29.014;29.014;29.014;6.666;10.787;8.481;6.666
noCheck4factor;77;435799;174319600;17431.96;factor_suitability_2025_Depth_10m_2025_highest.tif;32.86;32.874;32.866;32.866;4.384;9.3;7.27;7.35;28.936;29.149;29.077;29.073;2.743;13.455;5.328;5.612
noCheck4factor;78;243;97200;9.72;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;4.821;6.551;5.373;5.184;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
noCheck4factor;79;53;21200;2.12;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.874;32.874;32.874;5.283;7.674;6.604;6.752;28.936;28.936;28.936;28.936;13.455;13.455;13.455;13.455
noCheck4factor;80;112653;45061200;4506.12;factor_suitability_2025_Depth_10m_2025_highest.tif;32.874;32.894;32.876;32.876;4.31;9.276;7.208;7.233;28.846;29.015;28.997;29.015;5.805;12.769;8.486;7.503
