zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
41,242,149,9.68,5.96,15.64,32.868,32.868,32.868,32.868,3.172,4.991,4.046,4.028,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
42,211,125,8.44,5.0,13.44,32.868,32.868,32.868,32.868,3.022,4.961,3.959,3.882,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
43,356,132,14.24,5.28,19.52,32.868,32.868,32.868,32.868,3.006,4.964,3.857,3.854,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
44,49,63,1.96,2.52,4.48,32.868,32.868,32.868,32.868,3.195,4.942,4.128,4.24,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
45,25,34,1.0,1.36,2.36,32.868,32.868,32.868,32.868,3.158,4.519,3.954,4.046,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
46,43,44,1.72,1.76,3.48,32.868,32.868,32.868,32.868,4.452,4.982,4.787,4.855,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
47,883,207,35.32,8.28,43.6,32.868,32.868,32.868,32.868,3.28,4.977,4.219,4.233,29.014,29.014,29.014,29.014,12.257,22.65,21.696,22.65
48,116,92,4.64,3.68,8.32,32.868,32.868,32.868,32.868,3.273,4.998,4.362,4.346,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
49,56,35,2.24,1.4,3.64,32.868,32.868,32.868,32.868,3.619,4.989,4.333,4.442,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
50,54,55,2.16,2.2,4.36,32.868,32.868,32.868,32.868,4.167,4.988,4.748,4.769,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
51,31,31,1.24,1.24,2.48,32.868,32.868,32.868,32.868,3.847,4.971,4.364,4.326,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
52,39,34,1.56,1.36,2.92,32.868,32.868,32.868,32.868,3.741,4.975,4.523,4.579,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
53,149,66,5.96,2.64,8.6,32.868,32.868,32.868,32.868,3.188,4.966,3.824,3.664,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
54,35,30,1.4,1.2,2.6,32.868,32.868,32.868,32.868,3.665,4.85,4.274,4.246,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
